lag_fs,acf_norm_mean,acf_norm_sem
1.670000000000000000e+02,2.950448600000000338e-02,2.718172936524826909e-03
1.675000000000000000e+02,2.870217199999999802e-02,2.497677916238200558e-03
1.680000000000000000e+02,2.874164000000000233e-02,2.343826065515527707e-03
1.685000000000000000e+02,2.931301199999999940e-02,2.409859135612287331e-03
1.690000000000000000e+02,3.003895799999999755e-02,2.743817438920453326e-03
1.695000000000000000e+02,3.052790799999999943e-02,3.241020533499286253e-03
1.700000000000000000e+02,3.042822800000000161e-02,3.753467611976158032e-03
1.705000000000000000e+02,2.947654000000000246e-02,4.164853373013269189e-03
1.710000000000000000e+02,2.753417000000000364e-02,4.401368518963165097e-03
1.715000000000000000e+02,2.460751999999999731e-02,4.428132500401268587e-03
1.720000000000000000e+02,2.085000600000000079e-02,4.246395426061496878e-03
1.725000000000000000e+02,1.654567600000000221e-02,3.891280842593605564e-03
1.730000000000000000e+02,1.207663399999999929e-02,3.428197842157887712e-03
1.735000000000000000e+02,7.878323999999999050e-03,2.945846128114298045e-03
1.740000000000000000e+02,4.388071999999999806e-03,2.540668514010436477e-03
1.745000000000000000e+02,1.993117999999999886e-03,2.283832794451905700e-03
1.750000000000000000e+02,9.843080000000001446e-04,2.181005757751226098e-03
1.755000000000000000e+02,1.520806000000000414e-03,2.177608154633427304e-03
1.760000000000000000e+02,3.609989999999999553e-03,2.219594433904536514e-03
1.765000000000000000e+02,7.104731999999999888e-03,2.298763669171756743e-03
1.770000000000000000e+02,1.171837400000000015e-02,2.447503408897728355e-03
1.775000000000000000e+02,1.705571799999999749e-02,2.699496691461947175e-03
1.780000000000000000e+02,2.265630399999999864e-02,3.051894422098510098e-03
1.785000000000000000e+02,2.804501799999999795e-02,3.461020937463973185e-03
1.790000000000000000e+02,3.278393400000000069e-02,3.863772308411301398e-03
1.795000000000000000e+02,3.651937200000000133e-02,4.198527905066726934e-03
1.800000000000000000e+02,3.901850999999999930e-02,4.416674793116423005e-03
1.805000000000000000e+02,4.019136800000000509e-02,4.487981200639547773e-03
1.810000000000000000e+02,4.009564799999999762e-02,4.403055396544995094e-03
1.815000000000000000e+02,3.892407600000000190e-02,4.173772098060218004e-03
1.820000000000000000e+02,3.697590799999999484e-02,3.831587304686400255e-03
1.825000000000000000e+02,3.461619200000000396e-02,3.423402142295584906e-03
1.830000000000000000e+02,3.222787799999999453e-02,3.004602058977860236e-03
1.835000000000000000e+02,3.016267000000000253e-02,2.628848703771292147e-03
1.840000000000000000e+02,2.869669200000000281e-02,2.334775446976432300e-03
1.845000000000000000e+02,2.799647599999999931e-02,2.134153549992595482e-03
1.850000000000000000e+02,2.809929800000000172e-02,2.011816538833499559e-03
1.855000000000000000e+02,2.891017200000000134e-02,1.941753468237921365e-03
1.860000000000000000e+02,3.021564199999999742e-02,1.907014750132782340e-03
1.865000000000000000e+02,3.171264399999999817e-02,1.909080537655758521e-03
1.870000000000000000e+02,3.304867799999999800e-02,1.963697408052981954e-03
1.875000000000000000e+02,3.386832600000000415e-02,2.087145197629047995e-03
1.880000000000000000e+02,3.386032199999999825e-02,2.280987806645181151e-03
1.885000000000000000e+02,3.279940599999999623e-02,2.525631491735482598e-03
1.890000000000000000e+02,3.057782199999999756e-02,2.785047552702466390e-03
1.895000000000000000e+02,2.722275800000000315e-02,3.016007718337935378e-03
1.900000000000000000e+02,2.289745000000000322e-02,3.176244425200931698e-03
1.905000000000000000e+02,1.788595000000000115e-02,3.230420957985197586e-03
