lag_fs,running_eta_mean,running_eta_sem
4.450000000000000000e+01,1.963170540000000186e-01,1.085172603315250756e-03
4.500000000000000000e+01,1.978877699999999629e-01,1.111118022547557919e-03
4.550000000000000000e+01,2.011620800000000209e-01,1.135960265832394603e-03
4.600000000000000000e+01,2.058088800000000274e-01,1.152613755466243631e-03
4.650000000000000000e+01,2.113363580000000019e-01,1.155045024297325596e-03
4.700000000000000000e+01,2.171511180000000041e-01,1.140511016077440896e-03
4.750000000000000000e+01,2.226276840000000201e-01,1.110822405907443532e-03
4.800000000000000000e+01,2.271802580000000238e-01,1.072448142682897333e-03
4.850000000000000000e+01,2.303283279999999988e-01,1.035252209253375655e-03
4.900000000000000000e+01,2.317488340000000147e-01,1.009727209703691455e-03
4.950000000000000000e+01,2.313093279999999807e-01,1.003159093610782098e-03
5.000000000000000000e+01,2.290789520000000024e-01,1.016777656463789536e-03
5.050000000000000000e+01,2.253166759999999935e-01,1.046051894227053615e-03
5.100000000000000000e+01,2.204387680000000072e-01,1.083971870886878000e-03
5.150000000000000000e+01,2.149697139999999784e-01,1.124725782622590245e-03
5.200000000000000000e+01,2.094824699999999762e-01,1.165662419987022408e-03
5.250000000000000000e+01,2.045348820000000012e-01,1.207102276331213598e-03
5.300000000000000000e+01,2.006093760000000059e-01,1.250635339647812420e-03
5.350000000000000000e+01,1.980625479999999772e-01,1.296904293066378005e-03
5.400000000000000000e+01,1.970900760000000029e-01,1.343998079483749771e-03
5.450000000000000000e+01,1.977104879999999898e-01,1.387222941604557150e-03
5.500000000000000000e+01,1.997693700000000017e-01,1.420254479038883131e-03
5.550000000000000000e+01,2.029629479999999764e-01,1.437021811530359971e-03
5.600000000000000000e+01,2.068779659999999687e-01,1.433611222478393564e-03
5.650000000000000000e+01,2.110428200000000198e-01,1.409620787041678024e-03
5.700000000000000000e+01,2.149837299999999840e-01,1.368787139828539154e-03
5.750000000000000000e+01,2.182792580000000038e-01,1.318669246681667025e-03
5.800000000000000000e+01,2.206068740000000084e-01,1.269241408789521059e-03
5.850000000000000000e+01,2.217764739999999735e-01,1.230368896785024625e-03
5.900000000000000000e+01,2.217472899999999858e-01,1.208778835916644694e-03
5.950000000000000000e+01,2.206268200000000290e-01,1.205973787011974628e-03
6.000000000000000000e+01,2.186524139999999894e-01,1.218569695891868728e-03
6.050000000000000000e+01,2.161582160000000141e-01,1.240858102135777115e-03
6.100000000000000000e+01,2.135316439999999927e-01,1.267790634870759672e-03
6.150000000000000000e+01,2.111648719999999757e-01,1.296662133334660879e-03
6.200000000000000000e+01,2.094070560000000081e-01,1.327012217790779361e-03
