lag_ps,msd_mean,msd_sem
1.260000000000000009e+00,2.239441401999999748e+00,2.668407242034006033e-01
1.264999999999999902e+00,2.246510504000000186e+00,2.678797381727122118e-01
1.270000000000000018e+00,2.253579129999999875e+00,2.689195011422067516e-01
1.274999999999999911e+00,2.260647404000000193e+00,2.699602162712608777e-01
1.280000000000000027e+00,2.267715366000000010e+00,2.710018603336324383e-01
1.284999999999999920e+00,2.274783097999999892e+00,2.720445903496077067e-01
1.290000000000000036e+00,2.281850771999999861e+00,2.730884966282602355e-01
1.294999999999999929e+00,2.288918345999999993e+00,2.741336116066158124e-01
1.300000000000000044e+00,2.295985821999999565e+00,2.751797434968563660e-01
1.304999999999999938e+00,2.303053219999999790e+00,2.762268335855850299e-01
1.310000000000000053e+00,2.310120649999999998e+00,2.772748420887126697e-01
1.314999999999999947e+00,2.317187998000000082e+00,2.783236764213521397e-01
1.320000000000000062e+00,2.324255037999999995e+00,2.793731008984673414e-01
1.324999999999999956e+00,2.331321613999999709e+00,2.804230039516627526e-01
1.330000000000000071e+00,2.338387436000000097e+00,2.814732319519509529e-01
1.334999999999999964e+00,2.345452146000000404e+00,2.825236889602631418e-01
1.340000000000000080e+00,2.352515232000000012e+00,2.835740855222336210e-01
1.344999999999999973e+00,2.359576440000000552e+00,2.846242531197603620e-01
1.350000000000000089e+00,2.366635551999999532e+00,2.856739760521732618e-01
1.354999999999999982e+00,2.373692361999999889e+00,2.867231245092327629e-01
1.360000000000000098e+00,2.380746620000000036e+00,2.877714870467847352e-01
1.364999999999999991e+00,2.387798314000000310e+00,2.888190446042400161e-01
1.370000000000000107e+00,2.394847358000000259e+00,2.898658250595316233e-01
1.375000000000000000e+00,2.401893759999999656e+00,2.909119650707093774e-01
1.379999999999999893e+00,2.408937333999999986e+00,2.919575366206939582e-01
1.385000000000000009e+00,2.415978293999999860e+00,2.930028096641565938e-01
1.389999999999999902e+00,2.423016647999999940e+00,2.940480119836759165e-01
1.395000000000000018e+00,2.430052675999999856e+00,2.950934821981511247e-01
1.399999999999999911e+00,2.437086356000000009e+00,2.961393774159008507e-01
1.405000000000000027e+00,2.444118161999999650e+00,2.971860851576249019e-01
1.409999999999999920e+00,2.451148343999999923e+00,2.982338916162321496e-01
1.415000000000000036e+00,2.458177337999999601e+00,2.992832785421450370e-01
1.419999999999999929e+00,2.465205118000000084e+00,3.003344667937394297e-01
1.425000000000000044e+00,2.472231821999999912e+00,3.013878940697449216e-01
